Station_name,Station_environment,x,y
CRMS0290-H01,Surface_Water,689705.6157668479,3262736.934812376
CRMS0292-H01,Surface_Water,769616.4298522554,3226824.0398899
CRMS0293-H01,Surface_Water,674818.4018131251,3235908.502898657
CRMS0294-H01,Surface_Water,698940.043953616,3256262.523971917
CRMS0296-H01,Surface_Water,703531.7532825021,3256614.951748811
CRMS0301-H01,Surface_Water,671915.5919749025,3265384.6246853997
CRMS0302-H01,Surface_Water,703012.4596305289,3226095.6503641666
CRMS0303-H01,Surface_Water,688034.7683289484,3236112.454982437
CRMS0305-H01,Surface_Water,674605.1344832958,3252546.6592073576
CRMS0307-H01,Surface_Water,711435.1545659489,3237888.814212413
CRMS0309-H01,Surface_Water,675274.4893776136,3237399.5585052464
CRMS0310-H01,Surface_Water,762779.9206312543,3243723.281672654
CRMS0311-H01,Surface_Water,714275.7033021245,3233911.4296026938
CRMS0312-H01,Surface_Water,753470.3500347773,3266790.7098601377
CRMS0315-H01,Surface_Water,735623.1100434823,3254954.400378263
CRMS0318-H01,Surface_Water,760274.1388964271,3243505.588989719
CRMS0319-H01,Surface_Water,759711.6702473685,3246909.409748504
CRMS0322-H01,Surface_Water,683677.6575672007,3236445.7656070227
CRMS0326-H01,Surface_Water,687066.7097789687,3239910.9898194554
CRMS0327-H01,Surface_Water,687374.3352587504,3258855.8848210247
CRMS0329-H01,Surface_Water,683705.4702775686,3262644.2705368167
CRMS0332-H01,Surface_Water,690487.6826150686,3242603.7814775766
CRMS0335-H01,Surface_Water,753877.3000709297,3240037.000341986
CRMS0336-H01,Surface_Water,754135.280155826,3246303.869681085
CRMS0337-H01,Surface_Water,756811.8297269968,3245387.540595614
CRMS0338-H01,Surface_Water,751295.2356394824,3248069.778003071
CRMS0341-H01,Surface_Water,741562.003144016,3244715.8495548484
CRMS0345-H01,Surface_Water,717353.3881326457,3228920.8453974724
CRMS0347-H01,Surface_Water,724030.6863715433,3227778.2667427054
CRMS0354-H01,Surface_Water,693675.3918176398,3246379.6398246833
CRMS0355-H01,Surface_Water,738898.5897856829,3243545.739702457
CRMS0365-H01,Surface_Water,674667.0698254164,3261445.520607553
CRMS0369-H01,Surface_Water,724379.88217831,3243054.897369896
CRMS0371-H01,Surface_Water,687218.4019052091,3256845.2793240156
CRMS0374-H01,Surface_Water,714572.096945151,3227331.941805947
CRMS0376-H01,Surface_Water,708483.1996948092,3223576.930185154
CRMS0377-H01,Surface_Water,693898.0064584186,3235402.804940816
CRMS0381-H01,Surface_Water,708065.6440823948,3260399.6681428645
CRMS0382-H01,Surface_Water,708268.3661146299,3258042.7674180465
CRMS0383-H01,Surface_Water,699070.8095109394,3232919.556369578
CRMS0385-H01,Surface_Water,732794.9592848138,3255661.3787737256
CRMS0386-H01,Surface_Water,756582.1796919416,3258912.8497938053
CRMS0387-H01,Surface_Water,759945.4196955998,3256530.010622285
CRMS0390-H01,Surface_Water,726592.4201299669,3261840.5598311843
CRMS0392-H01,Surface_Water,726229.6902963625,3260619.290201425
CRMS0394-H01,Surface_Water,708212.4195898928,3249701.3899802146
CRMS0395-H01,Surface_Water,705165.1703321027,3249791.79047264
CRMS0396-H01,Surface_Water,705266.000447082,3247816.240323055
CRMS0397-H01,Surface_Water,765933.1298479834,3250124.5002991445
CRMS0398-H01,Surface_Water,701992.7204665914,3252939.3901799405
CRMS0399-H01,Surface_Water,684678.7288887629,3242429.117835837
CRMS0400-H01,Surface_Water,741241.5835180986,3264464.7502565035
CRMS0409-H01,Surface_Water,701646.1454740202,3262854.563857477
CRMS0411-H01,Surface_Water,698224.2781669006,3265019.774135057
CRMS0416-H01,Surface_Water,744359.4913805345,3263139.175664996
CRMS0421-H01,Surface_Water,711531.6161537231,3229000.9913682444
CRMS0434-H01,Surface_Water,720256.4128115326,3245603.2763206637
CRMS0461-H01,Surface_Water,662077.6264884558,3273928.699837536
CRMS0463-H01,Surface_Water,662189.5452619672,3263415.8778686216
CRMS0464-H01,Surface_Water,656341.37006032,3266412.6197229135
CRMS0465-H01,Surface_Water,656546.7811594104,3268550.3946841457
CRMS0479-H01,Surface_Water,650324.4148646654,3266993.1872819373
CRMS0482-H01,Surface_Water,659392.1415771926,3274051.8833092614
CRMS0484-H01,Surface_Water,650167.3525774458,3263217.4842642453
CRMS0489-H01,Surface_Water,640986.6531843244,3275432.0442024725
CRMS0978-H01,Surface_Water,763071.4141274861,3246948.5268957173
CRMS2568-H01,Surface_Water,659425.850420262,3271589.5699675973
CRMS2785-H01,Surface_Water,690082.9946019829,3265301.431774969
CRMS2825-H01,Surface_Water,747794.7501417524,3265863.470453461
CRMS2862-H01,Surface_Water,686359.9279697053,3270902.165657936
CRMS2881-H01,Surface_Water,692776.7792128228,3261981.3053370216
CRMS2887-H01,Surface_Water,702090.6395140945,3267669.9532742016
CRMS3296-H01,Surface_Water,744672.4097197803,3253177.839674642
CRMS4014-H01,Surface_Water,662245.8104921612,3269938.5226468276
CRMS4016-H01,Surface_Water,656418.8376330853,3271133.1745472844
CRMS4045-H01,Surface_Water,693092.7496218065,3251736.5728918016
CRMS4455-H01,Surface_Water,699710.8985027289,3238577.672480746
CRMS4779-H01,Surface_Water,649415.0306923497,3279408.011134755
CRMS4782-H01,Surface_Water,650885.9509493952,3282525.2671920415
CRMS4808-H01,Surface_Water,653409.4235607723,3279439.9914131113
CRMS4809-H01,Surface_Water,652839.1904288026,3280488.370583982
CRMS4900-H01,Surface_Water,668545.0484417311,3279584.21683149
CRMS4938-H01,Surface_Water,662322.5977142614,3277406.708400318
CRMS5003-H01,Surface_Water,665645.9005077188,3278396.0807430204
CRMS5035-H01,Surface_Water,690069.027238888,3278731.5828331425
CRMS6008-H01,Surface_Water,647079.3449761304,3278822.2478677635
CRMS6038-H01,Surface_Water,659481.3568897292,3276156.9784251424
CRMS6042-H01,Surface_Water,659298.7865213513,3279689.5743322195
CRMS6304-H01,Surface_Water,666986.7579472107,3255834.9182269825
