datetime,water_level
2021-03-26 00:00:00,0.752
2021-03-26 00:06:00,0.738
2021-03-26 00:12:00,0.719
2021-03-26 00:18:00,0.727
2021-03-26 00:24:00,0.741
2021-03-26 00:30:00,0.759
2021-03-26 00:36:00,0.751
2021-03-26 00:42:00,0.74
2021-03-26 00:48:00,0.736
2021-03-26 00:54:00,0.742
2021-03-26 01:00:00,0.75
2021-03-26 01:06:00,0.752
2021-03-26 01:12:00,0.742
2021-03-26 01:18:00,0.716
2021-03-26 01:24:00,0.705
2021-03-26 01:30:00,0.697
2021-03-26 01:36:00,0.7
2021-03-26 01:42:00,0.678
2021-03-26 01:48:00,0.678
2021-03-26 01:54:00,0.678
2021-03-26 02:00:00,0.664
2021-03-26 02:06:00,0.654
2021-03-26 02:12:00,0.655
2021-03-26 02:18:00,0.628
2021-03-26 02:24:00,0.607
2021-03-26 02:30:00,0.598
2021-03-26 02:36:00,0.597
2021-03-26 02:42:00,0.632
2021-03-26 02:48:00,0.63
2021-03-26 02:54:00,0.609
2021-03-26 03:00:00,0.609
2021-03-26 03:06:00,0.633
2021-03-26 03:12:00,0.611
2021-03-26 03:18:00,0.59
2021-03-26 03:24:00,0.597
2021-03-26 03:30:00,0.615
2021-03-26 03:36:00,0.65
2021-03-26 03:42:00,0.657
2021-03-26 03:48:00,0.67
2021-03-26 03:54:00,0.675
2021-03-26 04:00:00,0.686
2021-03-26 04:06:00,0.664
2021-03-26 04:12:00,0.65
2021-03-26 04:18:00,0.65
2021-03-26 04:24:00,0.665
2021-03-26 04:30:00,0.665
2021-03-26 04:36:00,0.666
2021-03-26 04:42:00,0.684
2021-03-26 04:48:00,0.692
2021-03-26 04:54:00,0.703
2021-03-26 05:00:00,0.703
2021-03-26 05:06:00,0.712
2021-03-26 05:12:00,0.689
2021-03-26 05:18:00,0.682
2021-03-26 05:24:00,0.677
2021-03-26 05:30:00,0.671
2021-03-26 05:36:00,0.658
2021-03-26 05:42:00,0.667
2021-03-26 05:48:00,0.653
2021-03-26 05:54:00,0.66
2021-03-26 06:00:00,0.638
2021-03-26 06:06:00,0.616
2021-03-26 06:12:00,0.601
2021-03-26 06:18:00,0.598
2021-03-26 06:24:00,0.581
2021-03-26 06:30:00,0.587
2021-03-26 06:36:00,0.581
2021-03-26 06:42:00,0.576
2021-03-26 06:48:00,0.557
2021-03-26 06:54:00,0.548
2021-03-26 07:00:00,0.541
2021-03-26 07:06:00,0.528
2021-03-26 07:12:00,0.507
2021-03-26 07:18:00,0.509
2021-03-26 07:24:00,0.518
2021-03-26 07:30:00,0.51
2021-03-26 07:36:00,0.524
2021-03-26 07:42:00,0.526
2021-03-26 07:48:00,0.51
2021-03-26 07:54:00,0.491
2021-03-26 08:00:00,0.473
2021-03-26 08:06:00,0.474
2021-03-26 08:12:00,0.465
2021-03-26 08:18:00,0.465
2021-03-26 08:24:00,0.462
2021-03-26 08:30:00,0.464
2021-03-26 08:36:00,0.458
2021-03-26 08:42:00,0.442
2021-03-26 08:48:00,0.423
2021-03-26 08:54:00,0.423
2021-03-26 09:00:00,0.425
2021-03-26 09:06:00,0.41
2021-03-26 09:12:00,0.408
2021-03-26 09:18:00,0.384
2021-03-26 09:24:00,0.372
2021-03-26 09:30:00,0.372
2021-03-26 09:36:00,0.36
2021-03-26 09:42:00,0.349
2021-03-26 09:48:00,0.333
2021-03-26 09:54:00,0.318
2021-03-26 10:00:00,0.308
2021-03-26 10:06:00,0.295
2021-03-26 10:12:00,0.285
2021-03-26 10:18:00,0.28
