Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cc),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.029664299999999998,0.0,0.0039357,0.0039357,0.0,0.6906597764207117,0.002400690442498736,0.002273501862855153,0.035928669729223775,0.09766202071327496,0.6906597803400817,0.6906597803400817,0.19342474289833195,26.894590940592906,21.388673759156212,147.722967202645,52.0207933803999,73.1054090594071,141.40394951793206,3.36,0.029664299999999998,0.0,0.0039357,0.0039357,0.0,0.0,0.0,0.6,0.04158338802185311,0.0,0.04907639231822862,86.87345304870067,6.020820844870596,0.0,7.1057261064287465
1,0.013163791577485099,0.0005683754657137883,0.004852486533770612,0.0054208619994844005,0.6906597764207117,1.0957112765787673,0.0013925838874425734,0.0013188047930858659,0.019935459947788794,0.09763177751662327,0.4050515509424857,1.0957113273631975,0.2902525300566142,16.956645726938437,19.015948053692945,77.02439251790071,49.21709323517557,83.04335427306157,241.03543682143862,1.8584653576969499,0.012459006000000002,0.0,0.00392035077,0.00392035077,0.0007047855774850974,0.0015005112294844006,0.2205296806969498,0.29248851375,0.02412154233605886,0.03938030012445532,0.04906119473197149,72.21019474420707,5.955178366786192,9.72229338039173,12.112333508615011
2,0.0059376219484003605,0.0008918813714089744,0.005374271801454112,0.006266153172863087,1.0957112765787673,1.3794730972167617,0.0009688867125412472,0.000917555094510812,0.013143595232428458,0.09761906660137623,0.2837618650593117,1.379473141638079,0.3903366712459871,11.866449410677706,16.784385297976744,47.62768476027971,46.31910362472841,88.1335505893223,344.0175676212587,1.2203775121263447,0.0052327825200000014,0.0,0.003905061401997,0.003905061401997,0.0007048394284003591,0.0023610917708660867,0.5271228006235943,0.163175784321375,0.01678250198508946,0.05474877141547225,0.04905480733737499,57.50447978175929,5.914290837347574,19.293914425050982,17.28731495584214
3,0.0027782432976265034,0.0011115486380883196,0.005729509730177874,0.006841058368266193,1.3794730972167617,1.6141034858696268,0.0007969879678838719,0.0007547635453453843,0.010392379994740053,0.09761390963903652,0.23463043009079998,1.6141035273075617,0.46032515727810347,9.622013708625786,15.279937986650594,35.85138421568582,44.292549737552335,90.37798629137421,416.0326075405511,0.9619301665892697,0.002197768658400001,0.0,0.0038898316625292115,0.0038898316625292115,0.0005804746392265026,0.002951226705736982,0.8802929351199428,0.10870714858802165,0.013804970157988494,0.0630660954457765,0.049052215899013325,46.33122333959534,5.8837083291566605,26.878907148305725,20.90616118294227
4,0.0014008388840602006,0.001288123644269503,0.0060166176958217875,0.00730474134009129,1.6141034858696268,1.8313351661059305,0.0007345615593499531,0.0006956444879355926,0.009418104936720944,0.09761203684678049,0.21723172009596542,1.8313352059655923,0.49270033739188374,8.799488424271837,14.593210313228237,31.70108178064753,43.35510915514709,91.20051157572816,449.3452282367366,0.870558022415149,0.0009230628365280004,0.0,0.0038746613190453476,0.0038746613190453476,0.00047777604753220025,0.0034300800210459426,1.271078541977757,0.08567364563523835,0.0127236555815974,0.06978314408175254,0.049051274797377135,39.43882854556909,5.857181251419697,32.12382798005962,22.580162222951596
5,0.000804002122565318,0.0014479942185308635,0.006278367126861676,0.007726361345392539,1.8313351661059305,2.0451858462593386,0.0007200182333290929,0.0006818716673273176,0.009228781154287078,0.09761160054699987,0.21385071902066832,2.0451858851265987,0.4996026302392794,8.637914810235008,14.447389848858109,30.895847071502097,43.15524958976236,91.362085189765,456.4473806495171,0.8530363467957858,0.00038768639134176025,0.0,0.0038595501399010705,0.0038595501399010705,0.0004163157312235577,0.003866811205491469,1.69939123564926,0.07584350948647912,0.012471744398736074,0.0764844095841969,0.04905105555125622,35.46563221007874,5.831986189174655,35.76532729675078,22.937054303995822
6,0.0005490611083489021,0.0016026789983807064,0.006533448878671115,0.008136127877051822,2.0451858462593386,2.261914929110108,0.0007265743741742163,0.0006880804638304662,0.009389966128349714,0.09761179723122522,0.21672912096522384,2.2619149672245626,0.49371197965013786,8.775524658220002,14.57182592618357,31.581390238400264,43.325816514783966,91.22447534177999,450.38616313535385,0.8685188985400725,0.00016282828436353931,0.0,0.0038444978943554566,0.0038444978943554566,0.0003862328239853628,0.004291629982696365,2.1671775163174325,0.07155939604855349,0.012585306124089103,0.08353326440503085,0.04905115438755036,33.017896132211895,5.806928975690594,38.542704382783214,22.63247050931428
7,0.0004439106092939835,0.0017572299132559731,0.006790081418214788,0.00854731133147076,2.261914929110108,2.4843859435498032,0.0007425554927516789,0.0007032149027456949,0.009711500768733873,0.09761227666478255,0.2224710518934694,2.4843859810035775,0.482416820166376,9.048787697348642,14.810829474429896,32.94980812591223,43.65287387315555,90.95121230265136,438.76394629322044,0.8991221940764744,6.838787943268651e-05,0.0,0.00382950435256747,0.00382950435256747,0.000375522729861297,0.004717806978903291,2.6765104871938914,0.06960521842857423,0.012862121928020151,0.09095231622793906,0.04905139530893595,31.287314837664717,5.781481149367333,40.882764500745786,22.04843951222215
8,0.0004044390757546385,0.0019138798328879067,0.007051918210809485,0.008965798043697392,2.4843859435498032,2.7139771776108375,0.0007628647084999712,0.0007224481362436427,0.010110215886697003,0.097612885941255,0.2295912708833212,2.7139772144331245,0.4691951110053183,9.385373903217484,15.09131116368725,34.64833309366609,44.03571550346545,90.61462609678252,425.1593955018528,0.937023711945203,2.872290936172834e-05,0.0,0.003814569285592457,0.003814569285592457,0.00037571616639291014,0.005151228758104935,3.229204979643676,0.06863021776703902,0.01321390655794593,0.09869544508031865,0.04905170147801759,29.892346300011138,5.7554045966587575,42.98745535951839,21.3647937438117
9,0.0003938233340524775,0.0020736305767703393,0.007320619465647222,0.00939425004241756,2.7139771776108375,2.9514182269522444,0.0007852713551905687,0.0007436676787925723,0.010549786591004891,0.09761355814065571,0.23744108553460563,2.951418263145443,0.4555376104692565,9.753569120091061,15.381912370167628,36.522979707707805,44.43117570513011,90.24643087990894,411.1064347641264,0.9788073376470039,1.2063621931925904e-05,0.0,0.0037996924653786466,0.0037996924653786466,0.00038175971212055156,0.005594557577038914,3.826836708559622,0.06806707298768878,0.01360202168812235,0.10671995159213331,0.049052039266661164,28.666931350332128,5.728588065328709,44.94586577207149,20.65861481226766
10,0.00039594278072773803,0.002236944923181686,0.007596972798036152,0.009833917721217838,2.9514182269522444,3.1971561261528314,0.0008087935953340911,0.0007659437106532909,0.011014390289419643,0.09761426380786002,0.24573793475579012,3.1971561617080346,0.4420508140317562,10.139488867786195,15.66983337680719,38.50672491983949,44.82169307870818,89.8605111322138,397.229120953048,1.0229860501945576,5.066721211408881e-06,0.0,0.0037848736647636697,0.0037848736647636697,0.00039087605951632916,0.0060490440564541685,4.470828720156672,0.06767750689241211,0.014009460490608363,0.11499857349947318,0.04905239387329649,27.540520742012742,5.7009759215770694,46.797240976960545,19.96126235944966
11,0.0004037385182081702,0.002404048151182328,0.00788138152549166,0.010285429676673988,3.1971561261528314,3.451515484411246,0.0008329931294145497,0.0007888611534181668,0.011497171530414272,0.09761498979388243,0.2543593931620766,3.451515519314908,0.42896847632739443,10.537021163244178,15.950108500721372,40.570599191127684,45.20049913426364,89.46297883675582,383.7679771931308,1.0689168194882157,2.12802290879173e-06,0.0,0.0037701126574710914,0.0037701126574710914,0.0004016104952993785,0.006515317019202897,5.1625214716069,0.06736144072106934,0.014428630991644879,0.1235165627589692,0.04905275869039318,26.482780873025177,5.672537118552969,48.55985903389266,19.28482297452919
12,0.00041411713520706324,0.0025750593146889825,0.008174077210443692,0.010749136525132675,3.451515484411246,3.714768424136746,0.0008576675919448327,0.0008122283629235954,0.011995191224526225,0.09761573002775834,0.2632529739623264,3.7147684583735723,0.41637106545269553,10.943427066831825,16.221001272919757,42.70226825742809,45.56526387520634,89.05657293316817,370.8058015774892,1.1163253660339738,8.937696216925268e-07,0.0,0.0037554092181069543,0.0037554092181069543,0.00041322336558537073,0.006993727307025721,5.903216538868009,0.06707683906658297,0.014856027931901565,0.13226697629662662,0.04905313066721524,25.47999289693958,5.643251701318893,50.24329803603855,18.633457365702974
13,0.00042571998929328116,0.0027500482588897713,0.008475211938121636,0.011225260197011408,3.714768424136746,3.987165025508683,0.0008827163973878057,0.0008359500826541997,0.01250721509177086,0.09761648149192163,0.2723966349261632,3.9871650590629093,0.40427700809719247,11.357423951225202,16.482086105525184,44.896647917083314,45.915453746927184,88.6425760487748,358.3615543502653,1.165098018630469,3.753832411108613e-07,0.0,0.0037407631221563374,0.0037407631221563374,0.0004253446060521703,0.007484497074855071,6.694200706958734,0.06680604473924014,0.015289909026181634,0.1412471728733436,0.0490535082873978,24.52528268469573,5.613104960098414,51.85349404614729,18.008118309058563
14,0.00043794692112598005,0.0029290602535314227,0.008784898145451183,0.011713958398982606,3.987165025508683,4.268946474214218,0.0009080822359441806,0.0008599720390838579,0.01303274508897444,0.09761724246707833,0.2817814815615176,4.268946507070201,0.3926801255457802,11.778352060249757,16.73345923322428,47.151789343871975,46.25124765741273,88.22164793975024,346.4288778883674,1.2151905320108587,1.5766096126656176e-07,0.0,0.003726174145979928,0.003726174145979928,0.0004377892601647135,0.007987784253002677,7.536758058275472,0.06654163940966418,0.01572928158689027,0.1504566698779891,0.049053890686974036,23.614624723000837,5.582084919039048,53.394804031911484,17.40848632604863
15,0.0004505290389889076,0.003112126506538895,0.009103225578708306,0.0122153520852472,4.268946474214218,4.560350628596867,0.0009337255608932154,0.0008842567806770928,0.013571594918302527,0.09761801176682679,0.2914041865251645,4.560350660739382,0.3815648910573477,12.20581250614102,16.975416173383998,49.4670734093108,46.5730951917211,87.79418749385898,334.9917958656266,1.2665881124236107,6.621760373195594e-08,0.0,0.0037116420668106063,0.0037116420668106063,0.00045046282138517564,0.008503710018436594,8.432175342257649,0.06628050507882746,0.01617346060832891,0.15989594356824588,0.049054277269762206,22.74521374218615,5.550181279544601,54.87084639205687,16.83375858621238
16,0.00046334179838524006,0.003299268522786894,0.009430268279028951,0.012729536801815846,4.560350628596867,4.8616142586444635,0.0009596134633520056,0.0009087731420636164,0.014123703659652532,0.09761878840390055,0.3012636614620151,4.861614290058882,0.37091261362645966,12.639510179905184,17.20832055954816,51.84241659381557,46.881537557868754,87.36048982009481,324.0310760685909,1.3192878600201086,2.78113935674215e-08,0.0,0.003697166662750045,0.003697166662750045,0.00046331398699167266,0.009032370139065802,9.381743754863397,0.06602132989542164,0.016621876061632953,0.16956578796531205,0.04905466753964852,21.914800336364483,5.517384997901157,56.284846019071495,16.28296864666288
17,0.000476323229361522,0.0034904997814044205,0.009766087220986822,0.013256587002391244,4.8616142586444635,5.172973817747868,0.0009857148228389922,0.0009334916515249823,0.014689053609906588,0.09761957144468517,0.3113595897758119,5.172973848420275,0.36070392158294323,13.079185683883521,17.43255124856965,54.27792005500459,47.17713567288276,86.92081431611648,313.5267859100605,1.3732910231752766,1.1680785298317031e-08,0.0,0.00368274771276532,0.00368274771276532,0.00047631154857622366,0.009573839289625925,10.386758838683612,0.06576356059911818,0.01707398889560397,0.1794669792536098,0.04905506102747998,21.121418051221703,5.483688139458864,57.63977893946716,15.755114869852274
18,0.0004894381683045838,0.003685826246668358,0.010110731057950215,0.013796557304618574,5.172973817747868,5.494665561608592,0.001011998198069165,0.0009583825335354607,0.015267633725050248,0.09762035994594206,0.3216917737780218,5.49466559152589,0.3509197401761629,13.524585944495723,17.648481390492766,56.77371282996024,47.460441856326234,86.47541405550427,303.45929831983665,1.4285995472923159,4.905929825293153e-09,0.0,0.003668384996685535,0.003668384996685535,0.0004894332623747586,0.01012817230793304,11.448519395714392,0.06550696254670287,0.017529254502269467,0.1896000994697821,0.04905545725926737,20.363269404552724,5.449083853280391,58.93843577132084,15.249210970846054
