Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cc),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.0419842,0.0,0.0088158,0.0088158,0.0,0.687900732697613,0.0036709313313137383,0.002130718672634433,0.05436080339137432,0.0962401279399394,0.6879007367645861,0.6879007367645861,0.21892828904303455,36.09592776805846,33.628574922111085,231.33121465263295,79.02419707681999,63.90407223194154,139.90409196621454,5.08,0.0419842,0.0,0.0088158,0.0088158,0.0,0.0,0.0,0.5976470588235293,0.04189180460440384,0.0,0.04836187333665296,86.87983990749184,6.089803712296369,0.0,7.030356380211786
1,0.029587006415063986,0.0005326796681586083,0.009697627409232808,0.010230307077391415,0.687900732697613,1.2374487855780767,0.0028706617876160527,0.0016662182213859854,0.04260185542644297,0.09621611985362848,0.5495481081062958,1.2374488408039088,0.2526038634878181,30.689005037346085,32.37627316174734,177.92319663570893,77.52161239030733,69.31099496265392,175.0822510975108,3.9817313492455404,0.028969098,0.0,0.008781418380000001,0.008781418380000001,0.000617908415063987,0.0014488886973914143,0.20667971124554013,0.44412372211764706,0.03275931687044201,0.02431526014653413,0.048349808971672605,80.81616796900023,5.961137230246922,4.424591730526161,8.798103070226672
2,0.020898237710596082,0.0009434280151221757,0.010376280497532774,0.01131970851265495,1.2374487855780767,1.6914225094909425,0.0023307035741069247,0.0013528102755188823,0.03447872869013475,0.0961999211072232,0.45397377113498144,1.691422556713058,0.28785506587891146,26.384362513387277,31.154427731830165,141.43293044971185,75.94872409464176,73.61563748661273,211.90634178426973,3.2217946223251035,0.01998867762,0.0,0.008747170848318001,0.008747170848318001,0.000909560090596083,0.002572537664336948,0.5548894867388432,0.3380688055096235,0.026597440786867255,0.040965855940388596,0.04834166889810211,74.46879687881889,5.858805613454473,9.023837619069868,10.648559888656768
3,0.014812099000211772,0.0012713472186370645,0.010917521422065516,0.01218886864070258,1.6914225094909425,2.0798456731672017,0.0019653928600445007,0.0011407729777556295,0.028907398715157517,0.09618896178580133,0.38842320540914316,2.0798457149000855,0.3220620157572446,23.10810530330013,30.027970189932713,116.63560433103856,74.42242974311513,76.89189469669986,247.6395860141294,2.700096764091435,0.0137921875578,0.0,0.008713056882009561,0.008713056882009561,0.0010199114424117722,0.0034758117586930187,1.0044618068493223,0.26476758164481834,0.022428600873449007,0.052890861189468126,0.048336161701407705,68.16471775055949,5.774269034679322,13.616812912543644,12.444200302217556
4,0.010551172473695256,0.0015426827783928277,0.011365475468954382,0.01290815824734721,2.0798456731672017,2.4237805844231697,0.001718435727309883,0.0009974316492024754,0.025126213376533053,0.09618155307181929,0.343934949041711,2.4237806222089127,0.3527055531470303,20.71278213438273,29.0543160198995,99.92794699745902,73.05513279921388,79.28721786561727,279.6504203478164,2.3459330721042466,0.009516609414881999,0.0,0.008679075960169725,0.008679075960169725,0.0010345630588132568,0.004229082287177485,1.5308263414483965,0.21406688676531435,0.01961038418224219,0.061925239364596964,0.048332438729557434,62.24051593528321,5.701771290437811,18.004927832177625,14.052784942101328
5,0.007569564185118444,0.0017752254484089648,0.011750045723782524,0.013525271172191489,2.4237805844231697,2.737998749702757,0.0015522343609799506,0.0009009633901435927,0.022600502687460482,0.09617656703082939,0.3142182000926211,2.7379987845157907,0.3780082429448019,19.027664801853877,28.269593598585566,88.82820817897436,71.92614139091437,80.97233519814613,306.0821015538875,2.109483535730993,0.00656646049626858,0.0,0.008645227563925063,0.008645227563925063,0.0010031036888498643,0.004880043608266426,2.1191410711600254,0.17896103600227814,0.017713733295888847,0.06921349761313282,0.0483299331813213,56.954382639047125,5.637398880990162,22.027208351626665,15.381010128336055
6,0.0054842786708733686,0.001981116338557205,0.012091634803221517,0.014072751141778722,2.737998749702757,3.032858356646823,0.0014413786273328435,0.0008366193966628024,0.02095516708116495,0.09617324135881998,0.29485963941482674,3.0328583891175835,0.3972344559344777,17.89076395749209,27.682754449963312,81.62526995125369,71.06827886906534,82.10923604250792,326.1661770654124,1.9557029812652091,0.00453085774242532,0.0,0.008611511176425755,0.008611511176425755,0.0009534209284480484,0.005461239965352967,2.7606071605401272,0.1546161049276597,0.016448673747210096,0.07546659875060018,0.048328261989356774,52.4371884990798,5.578475840184111,25.594075506695273,16.390260154040817
7,0.004026771907934837,0.002168677019632632,0.012404223768053958,0.01457290078768659,3.032858356646823,3.3156227153275104,0.0013685478817131115,0.0007943462469827414,0.019927164140883143,0.09617105643645138,0.2827643892252783,3.3156227458721013,0.41058289162727285,17.16405647027932,27.279436700201213,77.13653256942042,70.47267937621085,82.83594352972068,340.11021225106197,1.8599672695621425,0.003126291842273471,0.0,0.008577926282837694,0.008577926282837694,0.000900480065661366,0.0059949745048488955,3.4501526175911534,0.1376966838248372,0.015617546414843742,0.08112299494717953,0.04832716403841778,48.6966142384833,5.523165932468691,28.689254389296128,17.090965439751873
8,0.0030088330281000325,0.0023436250018643214,0.012697416181561127,0.015041041183425448,3.3156227153275104,3.5913853991064815,0.0013218631391058646,0.000767249021831217,0.01933208145645817,0.09616965589417317,0.27576271267724783,3.591385428004758,0.4188446517271333,16.737481097597097,27.031335670731973,74.54234451850299,70.10404441112533,83.2625189024029,348.74060731600804,1.804987421152548,0.0021571413711686947,0.0,0.008544472370334627,0.008544472370334627,0.0008516916569313378,0.0064965688130908215,4.18497866459337,0.1259013381353332,0.015084791116855158,0.08645012317673127,0.04832646024832823,45.65567872212219,5.470206965403031,31.34946067850454,17.52465363397024
9,0.0022985970057200753,0.0025098917448018046,0.012977813337840462,0.015487705082642265,3.5913853991064815,3.863719041396197,0.0012931417749011923,0.000750578280405899,0.0190406496100165,0.09616879425324702,0.27233366973372053,3.863719068840202,0.4230451709328183,16.526986826370692,26.905613692112535,73.27304513210848,69.91661966966426,83.47301317362931,353.12855126315407,1.7786302088362342,0.0014884275461063993,0.0,0.008511148928090321,0.008511148928090321,0.000810169459613676,0.006976556154551944,4.963651226009932,0.11764207616702023,0.014757029666519489,0.0916085366372426,0.0483260272629382,43.197771425783316,5.418731250141952,33.638343994267984,17.74515332980674
