Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cc),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.03809,0.0,0.00791,0.00791,0.0,0.9907770461688761,0.002126599951854322,0.005637488876368697,0.048084067952817236,0.06704253199903709,0.9907770543975642,0.9907770543975642,0.1161982904638989,41.76625382224949,21.002217746652615,208.08515434844725,48.53167293226674,58.23374617775051,67.66661753163217,4.6,0.03809,0.0,0.00791,0.00791,0.0,0.0,0.0,0.9156050955414012,0.04148224428378256,0.0,0.03368971457238045,92.41282804012141,4.186839420600589,0.0,3.400332539277998
1,0.025406072219092173,0.0014093722190921742,0.010585145660656974,0.011994517879749148,0.9907770461688761,1.801342151981073,0.001663126401677441,0.004408848303262796,0.03903045397248522,0.06703326252803356,0.8105651117315678,1.8013421579004438,0.13085156881961083,36.799063110610795,20.53648918800498,166.46161653249388,48.1521513911529,63.200936889389205,82.6994174284579,3.740059009884132,0.0239967,0.0,0.007879151000000001,0.007879151000000001,0.001409372219092174,0.004115366879749147,0.5524739098841321,0.6344715565286624,0.032441557994504225,0.1099669406616505,0.03368505654675053,78.27521162035633,4.002338310021884,13.566700450101274,4.155749619520499
2,0.01710803757384377,0.0024962221377197685,0.012660110778146555,0.015156332915866324,1.801342151981073,2.504319632837669,0.0013887955648611454,0.0036816137147130047,0.033625390143274016,0.06702777591129723,0.702977485425724,2.5043196374067973,0.1431812087034559,33.40718574619232,20.174654466320934,141.82327866067146,47.832812345206804,66.59281425380769,95.34839635824912,3.2264370489710092,0.015117921,0.0,0.0078484223111,0.0078484223111,0.0019901165738437712,0.007307910604766323,1.4822766277451416,0.4571326295999204,0.027090359346415658,0.18507219702647482,0.03368229945291318,65.02806122205754,3.8536595990709013,26.326902477452016,4.791376701419553
3,0.011698467100199826,0.003389416745096874,0.014377910929174025,0.0177673276742709,2.504319632837669,3.1485033310166015,0.0012304853244412557,0.003261942765974302,0.030671670392423158,0.06702460970648882,0.6441837018749809,3.14850333471265,0.15165903734377975,31.394921445698664,19.9380621120085,128.43774659526932,47.61323563938245,68.60507855430134,104.0458017043973,2.946579477447073,0.00952429023,0.0,0.00781781346408671,0.00781781346408671,0.002174176870199827,0.009949514210184189,2.694645735783543,0.3451851849937641,0.024002301312747422,0.24131550717324873,0.03368070839522051,53.58489884004478,3.7260025739374636,37.46066633956563,5.228432246452123
4,0.008185519964619466,0.004167957794068894,0.01588756960421791,0.020055527398286803,3.1485033310166015,3.766621490931868,0.0011440143034977227,0.003032713277714253,0.029362181380334036,0.06702288028606995,0.6181181629928792,3.7666214940094807,0.15593306820125646,30.46341504865015,19.821950100730927,122.52307383200318,47.50253776424346,69.53658495134985,108.430530437013,2.824104736290627,0.0060003028449,0.0,0.007787323991576772,0.007787323991576772,0.0021852171197194667,0.012268203406710032,4.139987788426493,0.27443524754133697,0.022315565633514493,0.28768751047829416,0.03367983933973365,44.39850888906794,3.6102426638725986,46.54247807334021,5.448770373719246
5,0.005915055897138827,0.004880705373542106,0.0172813104560643,0.022162015829606405,3.766621490931868,4.380655470423566,0.0011019812539051225,0.0029212861852272454,0.02915701335557225,0.0670220396250781,0.6140339820955164,4.380655473027384,0.15663473974586825,30.31534669138213,19.803073168587556,121.59759875436694,47.48436439310408,69.68465330861787,109.15037535276417,2.8077071726745233,0.003780190792287,0.0,0.007756953428009622,0.007756953428009622,0.0021348651048518274,0.014405062401596783,5.793980539071354,0.2296406094804264,0.021495653440028264,0.32921830227803767,0.033679416897024174,37.39868088354506,3.500727006454912,53.61564862493651,5.4849434850635275
6,0.004456806761504273,0.0055578272312773085,0.018616130714194726,0.024173957945472033,4.380655470423566,5.005418927999854,0.0010870460707358158,0.0028816939107564033,0.029696069856297407,0.06702174092141472,0.6247634597942311,5.005418930217797,0.15480708620437988,30.703827575820846,19.852349165377728,124.03022349604501,47.53170082334515,69.29617242417916,107.27538538103475,2.8630764706976306,0.00238152019914081,0.0,0.007726701309640384,0.007726701309640384,0.0020752865623634626,0.016447256635831648,7.646234858890866,0.2011986765282881,0.021204322239671565,0.3686811942315906,0.033679266794680765,32.20397630081533,3.3939760572193696,59.011324758496215,5.390722883469081
7,0.0035282117374367925,0.006217670392145486,0.01992674088157244,0.026144411273717923,5.005418927999854,5.650939750686571,0.0010880574909503389,0.002884375125059891,0.030738919352286048,0.06702176114981902,0.6455208245768667,5.650939752576721,0.15144465798789117,31.443029236712555,19.943938941489147,128.74227910820755,47.618788088571954,68.55697076328744,103.82586989931919,2.9672623011154715,0.0015003577254587104,0.0,0.007696567174532787,0.007696567174532787,0.002027854011978082,0.018447844099185137,9.693804670007188,0.18305981090747406,0.02122405137602174,0.40755768533366277,0.03367927695970805,28.35846713813891,3.287895691038925,63.136256773871445,5.217380396950714
8,0.0029438671758501523,0.006870991566136073,0.021233526652163052,0.028104518218299124,5.650939750686571,6.3240334756578624,0.0010977465941893107,0.0029100603564002113,0.0321241770564548,0.06702195493188379,0.673093726575982,6.324033477262553,0.14729914731592209,32.40083744289005,20.05863095805179,135.01338661567442,47.72615727659506,67.59916255710995,99.57299003932701,3.104838539414928,0.0009452253670389876,0.0,0.007666550562552109,0.007666550562552109,0.0019986418088111645,0.020437967655747014,11.937465616463005,0.1714127374520521,0.021413050603215057,0.4465885641830848,0.03367937433763005,25.466399504869287,3.1812880967028074,66.3486445572557,5.003667841172215
9,0.002582151409885649,0.007523612847165242,0.022547544869291718,0.03007115771645696,6.3240334756578624,7.0293372368581615,0.0011113196777981008,0.002946041786662097,0.033742402410584744,0.06702222639355597,0.705303762553571,7.029337238211434,0.14286699455468616,33.48635608649031,20.18359835287184,142.3556786015057,47.84095052664893,66.5136439135097,95.02604402803725,3.2653309126342607,0.0005954919812345622,0.0,0.007636651015358156,0.007636651015358156,0.001986659428651087,0.022434506701098804,14.379582229437995,0.1638563494544729,0.021677812186348303,0.4860900901622192,0.03367951075053064,23.232025427062325,3.073542682923342,68.91925379815316,4.775178091861169
