Age(yr),LOM (g/cm2),ROM_cellulose (g/cm2),ROM_lignin(g/cm2),ROM (g/cm2),dt (cm),db (cm),rt (g/cm2),frp (g/cm2),TOM (g/cm2),wi_t (g/cm2),V(cm3),db_corr (cm),BD (g/cm3),AFDW or OM %,OC Density (mg/cm3),C_Seq (g/m2/yr),OM Density (mg/cm3),Inorganic Matter(%),Inorganic Matter Density (mg/cc),Necro_Mass (Mg/ha),LOM_A (g/cm2),ROM_A_cell (g/cm2),ROM_A_lig(g/cm2),ROM_A (g/cm2),LOM_Nr (g/cm2),ROM_Nr (g/cm2),Cumulative Nr (Mg/ha),Vol cont to cohort from litter,Vol cont to cohort from live root,Vol cont to cohort from necro root,Vol cont to cohort from inorganic,Vol cont % to cohort from litter,Vol cont % to cohort from live root,Vol cont %to cohort from necro root,Vol cont % to cohort from inorganic
0,0.0925406,0.0,0.0102494,0.0102494,0.0,2.3746935330080694,0.01811048280175373,0.03668368843909227,0.12017606348968358,0.4104044193120701,2.374693562206062,2.374693562206062,0.22343113707220852,22.649921620766854,20.36630901196208,483.6374289660565,50.60697742324338,77.35007837923314,172.8241596489651,10.279,0.0925406,0.0,0.0102494,0.0102494,0.0,0.0,0.0,1.8547455792132805,0.3137146064540523,0.0,0.2062333765387287,78.10462826581481,13.210740596046218,0.0,8.68463113813895
1,0.06930568453172768,0.009170922109773067,0.02524973960002783,0.0344206617098009,2.3746935330080694,4.735868159924525,0.016356726815750986,0.03313136800164441,0.11942880398464951,0.41033426907263004,2.361174739825596,4.735868272833665,0.224364196398446,22.543814406584076,20.34317192575994,480.33783679033587,50.580248030889464,77.45618559341592,173.78394836755655,10.372634624152857,0.058300578,0.0,0.01020942734,0.01020942734,0.011005106531727683,0.024211234369800896,3.5216340901528578,1.2361964153735114,0.2833355781869532,0.6354446211030058,0.20619812516212566,52.355143163390814,11.999771698721515,26.912223410874784,8.73286172701289
2,0.05360199165548176,0.017353801059187643,0.03873512649626193,0.05608892755544957,4.735868159924525,7.188200917684745,0.015407211361005379,0.031208076972284445,0.1244818421174965,0.4102962884544402,2.452332812746184,7.188200972670709,0.21806914942066072,23.277287346130844,20.500012859497964,502.7285419706557,50.76058252391063,76.72271265386915,167.30856689675008,10.969091921093133,0.03672936414,0.0,0.010169610573374,0.010169610573374,0.016872627515481763,0.045919316982075575,9.800828539908593,0.8462463860226271,0.26688781859554606,1.1330195687036693,0.20617903942434182,34.507811567181996,10.883017884374281,46.20170487524022,8.407465673203522
3,0.043131677834638844,0.02496666387071361,0.05137937106156313,0.07634603493227674,7.188200917684745,9.80740491971718,0.014846621432255618,0.030072574042105366,0.13373046934188096,0.4102738648572902,2.619204027905081,9.807404945589827,0.2076983420929916,24.58261100782324,20.762491573652174,543.8120155905508,51.05767550641813,75.41738899217677,156.6406665865735,11.947771276691558,0.0231394994082,0.0,0.010129949092137842,0.010129949092137842,0.019992178426438845,0.0662160858401389,18.42165496656637,0.6003148412186546,0.257177130547914,1.5555442848534418,0.20616777128507047,22.919743358015708,9.818904056650071,59.38996230460189,7.871390280732339
4,0.036194729248454086,0.032212670745049174,0.06350874687168623,0.0957214176167354,9.80740491971718,12.64313272089271,0.01439018654419416,0.02914804235459248,0.14573072594761588,0.41025560746176776,2.8357278126584458,12.643132732375626,0.19606477424508387,26.211206497464655,21.063862519405376,597.3138078829163,51.39094284616684,73.78879350253534,144.67383139891703,13.19161468651895,0.014577884627165999,0.0,0.010090442290678504,0.010090442290678504,0.021616844621288087,0.0856309753260569,29.146436961300864,0.4451159674818568,0.2492706438546805,1.935182604607452,0.20615859671445616,15.696709870915583,8.790358607125752,68.24288974311861,7.270041778840052
5,0.03154709213290382,0.03914856322257626,0.07521176012426957,0.11436032334684583,12.64313272089271,15.72209169933349,0.013858102067609037,0.028070278643045486,0.15921119346465432,0.4102343240827043,3.0789590430982554,15.722091763990965,0.18494741553117391,27.958986164363537,21.359937309518973,657.6637213915525,51.70942231970886,72.04101383563646,133.23799321146507,14.590741547974964,0.00918406731511458,0.0,0.010051089565744858,0.010051089565744858,0.02236302481778924,0.10430923378110098,41.81366282118989,0.34707969831936913,0.2400537348412969,2.285677708388492,0.20614790154909765,11.272631219222529,7.796587466124223,74.23540477136356,6.695376543289702
6,0.02829575163664305,0.04573941354421155,0.08642724850343357,0.13216666204764513,15.72209169933349,19.051558298908706,0.013159050881565687,0.026654315513155377,0.17309510253059124,0.4102063620352626,3.329466627796786,19.051558327130277,0.17519366606531894,29.675067361509953,21.627403134202158,720.0771698123373,51.988838417982194,70.32493263849005,123.20482764733676,16.046241368428817,0.005785962408522185,0.0,0.010011890316438453,0.010011890316438453,0.022509789228120865,0.12215477173120667,56.28011891712264,0.2850568878556593,0.2279445840184601,2.6103313056536908,0.20613385026897618,8.561638235860334,6.846279284357876,78.40088511056888,6.191197369212903
7,0.02582261818503174,0.05190443281486849,0.09701845159466388,0.14892288440953239,19.051558298908706,22.623381163627748,0.012272885817694224,0.024859343868030535,0.18652747297955058,0.4101709154327078,3.5718228762232886,22.623381175131996,0.16705710475856084,31.25992571823052,21.856989997906958,780.6929687990772,52.221926854552656,68.74007428176948,114.83517790400818,17.47455025945641,0.0036451563173689767,0.0,0.009972843944204342,0.009972843944204342,0.022177461867662764,0.13895004046532805,72.39286915042172,0.2457235702196557,0.2125941967698747,2.9073890713278745,0.20611603790588331,6.879500432548733,5.951980379124057,81.39790723335192,5.77061195497529
8,0.023726052616979156,0.05755351046419406,0.10683241061933721,0.16438592108353128,22.623381163627748,26.418294575402687,0.011229520084602655,0.022745954407366906,0.198892312981729,0.4101291808033841,3.7949134161765548,26.418294579804304,0.160483633483979,32.65768367970049,22.04742261541457,836.6805987535114,52.41023738088776,67.34231632029952,108.07339610309127,18.811197370051044,0.002296448479942455,0.0,0.009933949852821944,0.009933949852821944,0.0214296041370367,0.15445197123070933,89.98102668719633,0.22068564295857812,0.19452073766182873,3.173611969825804,0.20609506573034378,5.815301134878671,5.125828084315346,83.62804685602752,5.430823924778457
9,0.021771199470906943,0.06261266580197608,0.11574160552494223,0.1783542713269183,26.418294575402687,30.41015317752521,0.010086270959940677,0.020430246142907837,0.2098082909193683,0.4100834508383976,3.9918586415930877,30.410153216995774,0.15528900129348694,33.84595676729547,22.201441642756205,886.2501667746097,52.5590482421585,66.15404323270454,102.72995305132845,20.012547079782525,0.0014467625423637467,0.0,0.009895207448395938,0.009895207448395938,0.020324436928543195,0.16845906387852236,108.85937676790289,0.2046548175885905,0.174717071843072,3.4064146663129837,0.206072085848441,5.126805229428565,4.3768351419714895,85.33405043004072,5.1623091985592175
